Type,Tweet
Sports,In League One Doncaster moved top when a goal from Kyle Bennett deep into stoppage time sealed a  win over Shrewsbury. bbcfootball
Sports,The NBA trade deadline has passed and KG is still with the Celtics ; http//t.co/TOTLWEityr
Politics,On Nov th PM Noda received a courtesy call from Ms. Michelle Bachelet Executive Director of UN Women. http//t.co/hYYFXl
Politics,Players like Jermaine Jones introduce more US fans to the beautiful game. http//t.co/EaIHNf football usbotschaft
Politics,While you watch CNNs Inauguration coverage on TV or http//t.co/RCzVHF get behindthescenes info and more at http//t.co/meIBWU.
Politics,Railway Budget % RPF vacancies being reserved for women
Politics,Government has also setup a Group of Ministers to talk to the Trade Union leaders. http//t.co/qulJPOZ
Politics,PM Democratic consent for the EU in Britain is now wafer thin EUspeech
Sports,Want to live like royalty at the AusGP Enter channeltens comp to win four seats in our trackside royal box http//t.co/vEAJHxUCY
Politics,Tomorrow Vladimir Putin will accept letters of credence from  new ambassadors
Sports,st Test. Over   runs (M Henriques  N Lyon ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,RT CaerusUpdates Irregular warfare is actually quite regular. http//t.co/qKUB MaxBoot ForeignAffairs
Politics,Economic Survey FDI in retail can pave way for investment in new technology and marketing of agricultural produce in India.
Politics,February  NelsonMandela receives a copy of the Parliamentary record of PW Botha s offer of conditional release
Politics,Our North Star http//t.co/btfaAUV
Politics,I was excited to be free ; to see the crowds that had come to welcome me although I had not expected such a turnout NelsonMandela
Sports,RT ArashMarkazi Blake Griffin is turning the game into his own personal dunk contest.
Politics,Railway Budget Introduction of executive lounge at  more stations Bilaspur Visakhapatnam Patna Nagpur Agra Jaipur and Bengaluru
Politics,An update from the PresidencyZA on NelsonMandelas health http//t.co/kbWqeNm
Sports,GBFedCup Robson breaks again for
Sports,Will any team come close to challenging South Africa as the number one Test team in  cricket
Politics,The House Republicans  Spending Reduction Act of  Will Hurt Middle Class Families http//t.co/CBXjYUz
Politics,Mitt Romney delivering concession speech to supporters in Boston. POTU
Politics,Statement on the Prime Ministers meeting with Vice President Biden http//t.co/ZKqLIwD
Politics,Americans have had enough of BarackObama s stale rhetoric ; canned excuses. We need real leadership http//t.co/VKIdia CantAffordMore
Politics,Major debate about EU growth survey  at pm CET. Start of EuropeanSemester for better governanceof singlemarket http//t.co/oDmPSua
Politics,Your share in the national debt Over    an increase of over  under BarackObama
Politics,I think theyre doing both shaunneville everyone wants to join the antiestablishment chorus when people need to introspect themselves
Politics,RT helloindiafrica  January Davos Switzerland INDIAFRICA DAY at INDIA ADDA during the sidelines of the WEF
Politics,The Presidents meeting with the Council of Legislators on lawmakers cooperation on federal and regional levels http//t.co/AQjeLNP
Sports,This week s npower Football League Show podcast (out later) features afcbournemouths new winger Matt Ritchie on his move from Swindon...
Sports,st Test. Over   runs (M Clarke  D Warner ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,RT ESPNCBB Victor. Olapdio. Playmaker IUvsMICHST
Politics,Meeting on the development prospects for Yamals offshore resources http//t.co/JpvLEaQr
Sports,shawndw PatrickMcEnroe Thats the sleepisfortheweak dedication we like
Sports,Luke Pomersbachs punt has paid off http//t.co/UCiIQmT bigfinals BBL
Sports,Cahill Frank Lampard is phenomenal he  in great form and is scoring for club and country which is the most important thing. CFC
Politics,Would you like to send a tribute for Prof. Jakes Gerwel or to send condolences to his family http//t.co/ocqAEW
Sports,GBFedCup HeatherWatson said Im really pleased I played better today especially mentally. I got off to a good start and even when she
Politics,Video  years ; still holding hands find out more about Elysee Treaty engine for Europn integration Europarltv http//t.co/MoquxqXc
Sports,RT EFFCharity Frank Lampard kindly arranged for some EFFCharity guests to watch training this morning... http//t.co/WUGauBIx
Sports,A fine ton by Aaaaaron Finch in the first innings here good support by Tim Paine AusAvEngL Gurinder Sandhu looks good  off  overs.
Sports,Fifa extends bans issued to  players/officials from Italy and four from South Korea for matchfixing. http//t.co/mdyCWMZm bbcfootball
Sports,This time next month... AusGP F
Politics,January  NelsonMandela notes in his prison calendar that the film The Killing Fields  violently  upset him
Politics,Less than  days left to apply to join our team as an assistant editor http//t.co/wVRUfEz jobs NYC
Sports,SA tightening grip on Test with  quick wickets this morning. Pak need at least  runs more from here () to make a match of it...
Sports,RT JimmyAnderson Great series win. Always tough in NZ. Heres man of the moment joeroot with his very proud parents... http//t.co ...
Politics,West Wing Week // or NowIsTheTime  This week President Hamid Karzai came to the White House as did ni... http//t.co/lyoUmv
Politics,RT FA_Books Book of the Day edwardlucas details how EastWest espionage is hardly thing of the past. http//t.co/veYHbaKuq
Politics,Theres no shortage of fun and quirky Inauguration souvenirs for visitors to take home when they leave DC http//t.co/mwGFMKp
Politics,Dmitry Medvedev It is essential for Russia to ensure an active and systematic dialogue with civil society WEF Davos
Politics,in  people sleep hungry every day. Infographic on foodinsecurity in the world http//t.co/OriDCCti KeepWhatUReap
Politics,PM will make further statement on Algeria at .pm today in House of Commons. Watch live here http//t.co/cNHUZX UKParliament
Sports,King of Aussie rock JimmyBarnes will be rocking the Legends Lane Stage at the AusGrandPrix. Full schedule http//t.co/zmqaAzg AusGP
Sports,Trivia time It is time for you to guess which cricket ground we are describing using whereamI
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga (January  (AM)) http//t.co/aMeBQ
Sports,RT TennisFndation Keep uptodate with all the latest news ; results as lots of our Paralympians are in action at NorthWestChalle ...
Politics,RT MedvedevRussiaE Merry Christmas to all Orthodox Christians Joy and prosperity to you all http//t.co/CuNhwoh
Sports,racedepartment Nah were not dont worry P
Politics,rbojji thanks and I know what you mean
Sports,Sunshine Watson Can play. Whatever the form of the game with bat and ball.
Politics,SecKerry We value health and nutrition and the principle of helping people gain the strength to help themselves. FeedtheFuture
Politics,WodehouseRock ) funny
Politics,Zoom in out up and down  see the EP like youve never seen it before with our virtual tour http//t.co/MmNVXPu EP
Sports,AusAvEngL calferguson has departed for  and Aus A are / in the th over. RolandJones the wickettaker. http//t.co/XiOCuOXaX
Politics,SwatiTrivedi )
Politics,December  NelsonMandela is awarded the CarteMenil Human Rights Prize
Politics,If youre willing to work hard and play by the rules President Obama will never stop fighting for you http//t.co/JdCjfLiy
Politics,RT PMOIndia PM We reviewed progress on the Jaitapur Nuclear Power Project and reiterated our commitment to its early implementation.
Sports,RT PerrinPezzaBrwn ONLY  weeks to go until the  ausopen begins ausopenfinal AustralianOpen sport
Politics,RT profLind As Pyongyang outrages the world yet again see my ForeignAffairs article on Why North Korea Gets Away With It. http//t ...
Sports,Rahul Dravid and Ian Chappell preview IndvAus with bhogleharsha. Verdict  India start as favourites http//t.co/AIMATHmTG
Sports,BTW forgot to mention Gavaskars telling reminder to todays `millionaire cricketers that Test cricket is still the pinnacle of the sport
Sports,FL Only  grounds from the first season in  remain in use today  Deepdale Turf Moor ; Anfield (which was used by Everton) trivia
Sports,Djokovic now handing out chocolate to the media ahead of flying to Europe for DavisCup
Politics,RT VP Check out the new official portrait of Vice President Biden in his West Wing Office at the WhiteHouse http//t.co/JSTEQnNvy
Sports,If you want to get involved with fantasy premier league on the official website contact joshualoveridge to join his league
Politics,Launch of Baksan hydroelectric power plant http//t.co/POziFJav
Sports,That blog is one that gets updated very regularly and its not just about the premiership its about all different issues in the game
Politics,Bill s Barbecue in Richmond couldnt take  years of BarackObama. Can we afford four more http//t.co/NELhGvdr
Politics,RT itsWillyFerrell Typing LOL when your face has less expression than a brick.
Sports,Watch Joe Burns blaze  off  to get the HeatBBL to  http//t.co/TqYfjTH BBL bigfinals
Politics,This is it. Make sure you vote today. Find your polling location http//t.co/uYhQcDS http//t.co/azSchbB
Politics,Vladimir Putin expressed his condolences to Barack Obama on the tragedy in an elementary school in Connecticut http//t.co/NHmig
Politics,acorn brownbrumby fully agree. But why are there so many online folk ranting against that
Politics,Arkady Bakhin has been appointed First Deputy Defence Minister; Oleg Ostapenko has been appointed Deputy Defence Minister
Politics,scvaid thanks v much
Sports,RT Official_NFFC NFFC ; Alex McLeish Part Company http//t.co/YRIXpV
Sports,nandanf Will you make it a triple
Politics,abhijity I did
Sports,INDvAUS MS Dhoni advances down the wicket to Siddle and flicks him for four to bring up his  (). India
Politics,RT HouseofCommons Prime Minister s Questions is coming up at midday. Follow proceedings on the Parliament website http//t.co/qsoLLfVQ ...
Politics,Italy elections Why havent conservatives been able to build a credible party http//t.co/hynDEoqim
Sports,RT tajmahalfoxtrot Vikram Doctor on the real Special  and the art of the con. http//t.co/EsySRxCAJQ
Politics,RT RoubiniGlobal The American way of distributing welfare is lopsided and incomplete. ForeignAffairs http//t.co/eHaxmDtM
Politics,This space will be a lot more crowded tomorrow. Follow us for photos and tidbits from our Inauguration coverage http//t.co/sthCRxou
Sports,Djokovic does his lap of honour on RLA. pete ausopenfinal http//t.co/oQvOPsV
Sports,Falling like rain... something on my fingertips something on my window pane your loves coming down like... ashes rain dontknowthelyrics
Sports,Poll Who will win the  AUSOpen Reply w/ Djokovic or Murray. See their FedEx ATP HeadHead stats http//t.co/jyDMfP
Politics,One of the advantages of old age is that people respect you just because of your grey hair;say all manner of nice things about you Madiba
Politics,Were now on Instagram too. Follow us at indiandiplomacy http//t.co/UhvHBd
Sports,RT SharkoTennis All four No  seeds in singles doubles (men women) win AustralianOpen titles st Grand Slam tourn since  Wimbl ...
Sports,off  Missed run out Huessy again BBL bigfinals
Politics,Tracking Santa With Our Eyes in the Sky  The Energy Departments Los Alamos National Lab is tracking Santa Clau... http//t.co/PBgIzdVc
Sports,Voges crunches Masceranhas for a massive six m  after . BBL bigfinals
Sports,GBFedCup GSM Hungary in dead doubles    over Konta and Robson. Aegon GB Fed Cup Team beat Hungary overall  rubbers to .
Politics,Amrta ) thats funny  well similar love for music dance and food
Sports,Confirmation of Englands team Cook Bell Trott Root Morgan Buttler Woakes Broad Swann Anderson Finn. NZvEng
Politics,A brighter future is out there waiting for us. Let s choose it today. http//t.co/DTsMzjB
Politics,PM on horsemeat  this is completely unacceptable  this isnt about food safety but about proper food labeling ; confidence in retailers.
Politics,RashidMokhdoomi thanks rashid
Sports,INDvAUS Mozzie finishes on  not out. Ashwin took five wickets. Scorecard here http//t.co/SHuuuOqH
Politics,Priority visa service for Indian travellers announced. We want you to come to our country quickly ; invest http//t.co/ZSysphAI PMIndia
Politics,Regarding the launch by North Korea the Chief Cabinet Secretary of Japan will hold a press conference shortly.
Sports,RT laurarobson We did it Heather and I won our singles so we are through to the playoff in April Very very happy. http//t.co/NIP ...
Sports,RT FootballManager Heres the st % off FM Steam code. Redeem at http//t.co/SQykqmA NOW AHKXPFHV
Sports,And now backtoback fours Marsh getting the ScorchersBBL right back in this  BBL bigfinals
Sports,RT Ianbaggygreen New article BaggyGreenBlog. The enhanced value and importance of Womens Cricket. _SouthernStars welcome to share ...
Politics,A Balanced Plan to Avert the Sequester and Reduce the Deficit http//t.co/EiaDZzdhJ
Sports,South Africa need  runs. Pakistan need eight wickets. Final session of day four coming up http//t.co/UORGdRNK SAvPak
Politics,I asked Uddhav Thakeray if Amitabh Bachchan ; so many more in the film industry can make Mumbai home why target migrants Tonight at
Sports,hunnuhm youre more likely to get your hands on them than Ponting will again.
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga (January  (AM))http//t.co/TaZoCT
Sports,balkrish Wow
Politics,Mr. Shinzo Abe a member of the House of Representative was designated as the Prime Minister of Japan this afternoon. http//t.co/nZpralN
Politics,EAM and members of Consultative Committee of Parliament visit ruins of ancient Nalanda Univ and site of new Nalanda Univ at Rajgir
Politics,RT VP Americans are speaking out  WeDemandAVote to reduce gun violence ; save lives. Its going to take us all. NowIsTheTime fo ...
Politics,.PeaceCorps helping to renovate art center in Botswana to help artists produce masterpieces http//t.co/CdPqqAbQc EmbassyGaborone
Politics,tarini_tee thank you ) you can email me
Sports,RT downtownbrown espn BestSupportingAthlete spacejam MJ and bugs bunny playing monsters handsdown the best
Sports,Did you know the entire AusGP circuit comes together in  weeks Check out this stepbystep guide c/o richardsF http//t.co/JFyICVUkr
Politics,ranjan_dua ah well and yet here you are tweeting me  Speaks for itself
Sports,Help spread the word FTAers. Vote for Matt Coleman in the Ethiad Coming Home comp www.sendblueroohome.blogspot.com mcfc
Sports,RT SouthF Formulagame Bernie
Sports,scottevans Yep its an amazing circuit
Politics,Hackers and smugglers and pirates oh my The untold history of America and international crime http//t.co/odRhgZzck
Politics,Railway Budget Introduction of / kmph Self Propelled Accident Relief Trains
Sports,RT cricketworldcup Do you want to join the cwc team Check out our Careers Centre for current opportunities http//t.co/jJPJQXIu
Sports,Djokovic accepts trophy from AndreAgassi First I have to congratulate Andy. Thank him for kind words. Bad luck tonight. AusOpen pete
Politics,EP president MartinSchulz press conference on elections results in Italy starts NOW http//t.co/FEKOrLcZjL
Politics,Jobless rate is higher today than it was when BarackObama took office. Sad reminder that the economy is at a virtual standstill.
Politics,RT CFR_org RT isobel_coleman Keeping pressure on Syria  seems like clear signal US not going to do much. SOTU
Politics,EUbudget / discussions in EP_Budgets w/ EU_Budget commissioner Lewandowski live from am CET http//t.co/XrBsYqKW
Politics,Dr. Raghuram Rajan Chief Economic Advisor (CEA) to brief the media on the Economic Survey  at PIB shortly.
Sports,Gibbs looks to have done a hamstring. Trouble for ScorchersBBL. Or as they say beware the injured batsman.  BBL bigfinals
Sports,Julian Newman is an yearold who plays high school basketball. Thanks to the internet he just made    Sports       Center http//t.co/vzDKlcyF
Sports,RT bushrangers So from the final over we need five runs as rain begins to fall  it is all happening here
Sports,Anderson takes his th international wicket to become Englands leading overall bowler. Ahead of Ian Botham http//t.co/TrxnHhkL nzveng
Sports,.RenegadesBBL fast bowler Will Sheridan remains upbeat despite his side  BBL exit http//t.co/vAuVxZd bigfinals
Politics,Dont miss out enter by midnight for the chance to join us on Election Night in Boston http//t.co/UnGjcIV
Sports,robertb Still holding our breath on this one...
Sports,Watch video highlights of the wwc final between Australia and West Indies at http//t.co/lBXIIkj
Politics,Today in  Bin Laden declares jihad against Jews and Crusaders. Read Bernard Lewis report from the time http//t.co/CQkUCbfzL
Sports,RT bhogleharsha very illuminating commentators workshop from star india. insights into who the viewer is and what he/she seeks from co ...
Politics,RT CONX .StateDept has supported the G New Alliance for FoodSecurity ; Nutrition. http//t.co/nPMHOIBW KeepWhatUReap
Sports,Fuel your AusGP F experience with fine dining at AlbertPark. Chefs Shannon Bennett ; Donovan Cook at the pass http//t.co/EvNzxH
Politics,Video in English Press Conference by Chief Cabinet Secretary Fujimura (November  (AM)) http//t.co/YAlBw
Sports,Krlozteven Thanks for following
Sports,WATCH Shaun Marsh welcomed Alex Keath to BBL with  runs off his first over http//t.co/HWKQsJHk bigfinals
Politics,More than  Million Records Released  In September  the President announced thatfor the first time in hist... http//t.co/AJxOXTnugl
Politics,RT PMOIndia Republic Day Greetings from Rajpath New Delhi  http//t.co/QWjOyqY
Sports,http//t.co/StjnXNxr scores South Africa Under s  vs England Under s  http//t.co/aOrzbYPmU
Politics,Did you know In Lincoln s time there was no security at the White House. Citizens could simply walk in HaroldHolzer
Sports,Matthew Hayden boasts alltime record of most consecutive + scores () at any stage of his ODI career mondaymilestones
Politics,Congrats to the Detroit Tigers on making it to the World Series Part of the heart and soul of Detroit.
Sports,Reading up on your favorite teams and athletes is procrastination in its most productive form.
Sports,As much as I love Steven Seagal his hair in the Carlton Dry ad is quite clearly made entirely of Sharpie.
Politics,President Obama Calls for a Responsible Approach to Deficit Reduction http//t.co/iVSRRIfAHI
Politics,Learn what led Pres. Lincoln to sign the Emancipation Proclamation ; end slavery in America http//t.co/XMyaObZQS CONX HaroldHolzer
Politics,Video Press Conference by Chief Cabinet Secretary Suga on the abduction of people in Algeria (January  (AM))http//t.co/uOioOwb
Politics,President Obama After shedding jobs for more than  years our manufacturers have added about  jobs over the past three. JobsNow
Politics,If something can harm or kill tens of civilians in quick succession it does not belong in anyone  home.  Calvin A. WeDemandAVote
Sports,Mata turns and shoots powerfully but is pushed over the bar by Vaclik. The resulting corner is taken and saved. CFC
Sports,st Test. Over   runs  wkt (S Tendulkar  C Pujara ) IND / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Pres Obama Important to find out exactly what happened in Benghazi ; Im happy to cooperate in any ways that Congress wants Item POWE
Sports,st Test. . R Ashwin to E Cowan  runs / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Worth a read and RT President Obamas plan to prevent severe budget cuts vs. Republican inaction. http//t.co/CRCeWF JobsOverCuts
Sports,GBFedCup Team GB recover from that third game break against Robson to surge into.  lead. Looks like a deciding set.
Sports,I don t know if it s Michigan State. I don t know what it is...we re underdogs.   Michigan St. center Derrick Nix (http//t.co/nsqOUir)
Sports,RT ESPNNFL BREAKING Patriots QB Tom Brady signs a  yr contract extension through  keeping him w/New England thru age . (via  ...
Politics,FACT In  years the background check system has helped keep more than . million guns out of dangerous hands.
Politics,viveksakpal that is true too
Politics,Sen. Scott Brown speaking NOW live  NS CH
Politics,BDUTT thank god for Comedy Central. Especially SNL
Politics,Railway Budget Next Gen eticketing system to be rolled out;will handle  tkts/min as of  now.
Sports,RT TennisEurope Great Britain beats Romania  to secure third place overall at the girls ;U Winter Cups finals. BritishTennis
Sports,RT UNITE The Schwab is BACK Check us out at  am ET on ESPNU for the return of Stump the Schwab UNITEstyle. Can you stump him
Sports,Somerset to alter Taunton pavilion http//t.co/DOadSGaAJP
Politics,Happening now President Obama speaks at the unveiling of the Rosa Parks statue at the Capitol. http//t.co/PcwbXGDeW
Politics,Video in English Press Conference by Chief Cabinet Secretary Fujimura (November  (AM)) http//t.co/xAaFYJu
Sports,. AegonUK Schools Tennis shortlisted in  Hollis Awards  http//t.co/eEoeKW
Sports,Australia are looking flat. Their innings was full of disappointments Ponting failed Wade got no support. Didnt rally. AUSvSA
Sports,Franklin is caught and bowled off Swannyg who now has  ODI wickets NZ  in the th over NZvEng
Politics,From pm today (Japan time) new Prime Minister of Japan Shinzo Abe will hold a press conference at the PMs Office. http//t.co/ucVIlyV
Politics,Eco Survey Expenditure on social services increased considerably in th Plan; education accounted for largest share followed by health
Politics,IN  MINS Watch SecKerry deliver his st public address on US foreign policy live from UVA. Tune in at http//t.co/rKYsXM CONX
Politics,.Crestrecycle in Llandudno is latest winner of the PM s Big Society Award for work tackling food waste ; unemployment http//t.co/GtjeGS
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga following the first Cabinet meeting(Dec  )http//t.co/odvwoS
Politics,The choice is clear. The middle class cant afford four more years of BarackObamas tax hikes. http//t.co/bUBBZ
Politics,.BarackObama s policies toward China have cost American workers their jobs. We can t afford four more years http//t.co/VvOebr
Politics,RT AnnetteHeuser Why a transatlantic trade and investment partnership will become reality this time tysonbarker ForeignAffairs http ...
Politics,Rajan_Medhekar well said
Sports,RT CapitalOne_Cup Hot off the press CapitalOneCup programmes http//t.co/apsUuvj
Politics,Due to events in Algeria PMs speech in the Netherlands tomorrow has been postponed to a venue and date to be announced in due course.
Sports,What a stunning catch by Lisa Sthalekar to secure victory for Australia wwc
Politics,How to tackleillegal wildlife trafficking EP_Environment workshop on wildlife crime live. Starts at pm CET http//t.co/ZwKjGAYSn
Sports,szwakala Crash it. P
Politics,Did you miss HaroldHolzer s webchat on Abraham Lincoln Don t worry He s still taking your questions at http//t.co/RdDWfqsd
Politics,Educating all of our children must be one of our most urgent priorities NelsonMandela
Politics,As President Obama concludes his victory speech a shower of confetti rains down from the ceiling in a stunning display. POTU
Sports,INDvAUS  up for India from  overs. Lead up to .
Politics,It wasnt a kiss cam but it may well have been. The president and first lady get in a few smooches before the parade. Very cute POMO
Politics,Weekly Address Following the President s Plan for a Strong Middle Class http//t.co/uOrhrq
Politics,What Is the Sequester  p span.callout { color ; fontweight bold; } p span.link { color ; f... http//t.co/pFOHtwcjO
Politics,Instead of creating jobs BarackObama is creating debt. We can t afford four more years of his borrowing ; wasting. http//t.co/kzzTgMIA
Sports,Check out the Reliance ICC Test Rankings table after South Africa completed a series victory over Pakistan on Sunday http//t.co/QUSemfuvG
Politics,NOTICE on observation of the earthquake in the vicinity of North Korea from The Japan Meteorological Agency  http//t.co/wSboM
Politics,Europe needs something more than fear to make it a magnetic project again. But what can that something be http//t.co/NnXxBcy
Sports,McLarens looking fast this season with Perez quickest on day  of testing in Barcelona http//t.co/cgNBoYhhR
Politics,Pundits often treat irregular warfare as new ignoring much of our species bloody history http//t.co/ufACihI
Politics,Photo BCIM Car Rally participants arrive at the Banganandhu Sheikh Mujibur Rahman Memorial Museum in Dhaka http//t.co/fQUReR
Politics,How much progress has there been for LGBT rights Humanrights protection includes LGBT people http//t.co/ZofsRVxcc State_IO State_DRL
Politics,Good news  employment rising for over a year  more this quarter and half a million more in  months. Unemployment down  ONS
Politics,Civil Society has a significant role to play in KeepWhatUReap http//t.co/fteyjaM
Politics,RT PMOIndia PM We discussed ways to generate higher growth in our trade. I invited increased British investments in India.
Sports,And Happy Birthday RoscoHutchins
Sports,Ball exploding from several spots on both ends. Different ball game altogether when the Aussies are batting...
Sports,ferrarikid )
Sports,Huge wicket White gone hooking for  caught behind off Gannons bowling. Vic  needing  off  http//t.co/QzCFGXsbE RyobiODC
Politics,Thank you for spreading NelsonMandelas Legacy with your tweets RTs FFs ; follows SocialJustice http//t.co/oWBxPLa
Politics,cWe may not be able to help everybody but if we help a few then that propels progress forward. d  President Obama
Sports,RT ESPNCBB Getting ready for IUvsMICHST Want to be on TV Use the hashtag to tweet us photos of your game prep. Best pics make Spor ...
Politics,The day after Inauguration festivities its back to work in Washington. The days full lineup of live events http//t.co/OdKycgx
Sports,bhatt_bhatt Of course
Politics,Returned from a whirlwind tour of New York ; Panama. With the brilliant team at Bell Labs New Jersey http//t.co/GXfJXltw
Politics,What an insects movements teaches us about value of coordination the butterfly effect applied to todays crisis. Blog http//t.co/vgdRRqM
Politics,Free people and free enterprise create growth and opportunity not government redistribution. http//t.co/QhlXWvN
Sports,st Test. Over   runs (N Lyon  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,Liverpool  Man Utd.  minutes to go. Steven Gerrard with the goal from a free kick.
Politics,Justice Usha Mehra Commission submitted its report to the Govt today.
Politics,Job Fair organized for Mumbais youth. Already thousands of candidates ; many jobs offered Ends tomorrow evening http//t.co/hWMTWCX
Politics,The military could survive a % cut but a sudden acrosstheboard drop will be terribly inefficient. http//t.co/ZiNYLWGo sequester
Sports,GOAL . A disappointing day for Chelsea gets worse as Dembele makes it four for Fulham. CFCU
Politics,Medvedev We intend to increase the domestic funding of research and development projects to nearly % of GDP
Politics,Your support has brought us this far but we cant let up now. Heres how you can help in the final days. http//t.co/xpcXym
Sports,RT cameronvdd Last year I called RachaelFinch ; MarkBeretta in a triathlon this year Im calling them in a car race ausgrandp ...
Sports,About six minutes left before lunch Australia  from  overs. INDvAUS
Politics,itzjayan exactly
Politics,Its estimated that the crowd on the National Mall for Presidents Obamas second inauguration Monday will be  http//t.co/meuhXpry
Sports,Djokovic In st  sets i served better against him than in any tournament in past two years. ausopen peat http//t.co/BRxURdq
Sports,RT ESPNCBB  Miami survives Virginia gives the Hurricanes a major scare but The U hangs on . Still undefeated in the ACC.
Politics,SecKerry No investment a nation can make returns a benefit as sizable as an investment in foreign policy.
Politics,The White House Joins Pinterest  Today the White House joins millions of pinners around the country with an of... http//t.co/PLXgArb
Sports,RT mraguilleira And the day is finally hereAfter being knocked down and roll over West Indies ladies stands at the final day.All or ...
Politics,Fulfilling our Commitment to Open Government  Since taking office President Obama has made clear that his Admi... http//t.co/sEeNMWzkbY
Politics,Chat with angelahucles former ussoccer_wnt member x Olympic gold medalist ; World Cup athlete / CONX http//t.co/lJJHxkiMOC LGBT
